店名,郵便番号,住所,電話番号,備考
びわ湖バレイ/びわ湖テラス,520-0514,滋賀県大津市木戸1547-1,0775921155,[公式HP]https://www.biwako-valley.com/
パンとエスプレッソと,150-0001,東京都渋谷区神宮前3-4-9,0354102040,
MARUZEN cafe(マルゼンカフェ) 京都店,604-8032,京都府京都市中京区河原町通三条下ル山崎町251 京都BAL B2F,0757083408,
THE GUEST cafe & diner Ikebukuro,171-0022,東京都豊島区南池袋1-28-2PARCO池袋本館7F,0353918604,
Nicolai Bergmann Flowers & Design Flagship Store(ニコライ バーグマン フラワーズ アンド デザイン フラッグシップストア),107-0062,東京都港区南青山5-7-2,0354640743,※2023年1月に内装をリニューアルしました。
コメダ珈琲店 亀有駅前店,125-0061,東京都葛飾区亀有3ー25ー1,0358493637,
コーヒーハウス ユーコン,321-1661,栃木県日光市中宮祠2482,0288510001,
STARBUCKS RESERVE(R) ROASTERY TOKYO(スターバックス リザーブ ロースタリー トウキョウ),153-0042,東京都目黒区青葉台2-19-23,0364170202,
Pacific DRIVE-IN(パシフィック ドライブイン) 七里ヶ浜,248-0025,神奈川県鎌倉市七里ガ浜東2-1-12,0467329777,
Cafe ASAN(カフェ アサン),110-0005,東京都台東区上野5-9-9 2K540内F-2区画,0368030502,
資生堂パーラー 銀座本店サロン・ド・カフェ,104-0061,東京都中央区銀座8-8-3 東京銀座資生堂ビル 3F,0355376231,※予約不可
イノダコーヒ本店,604-8118,京都府京都市中京区堺町通三条下ル道祐町140,0752210507,
元町珈琲 石神井公園の離れ,177-0041,東京都練馬区石神井町7-1-2,0339970078,
オランダ屋 奈良店,630-8108,奈良県奈良市法蓮佐保山3-1-23,0742313741,
CHAVATY(チャバティ),150-0001,東京都渋谷区神宮前4-6-9,0334012378,
347 CAFE & LOUNGE(サンヨンナナ カフェ アンド ラウンジ),150-0002,東京都渋谷区渋谷1-23-16 cocoti 3F,0357663798,
喫茶 ソワレ,600-8001,京都府京都市下京区西木屋町通四条上ル真町95,0752210351,
サンメドウズ清里 「清里テラス」,409-1501,山梨県北杜市大泉町西井出8240-1 サンメドウズ清里,0551484111,
ヨリドコロ 稲村ケ崎,248-0024,神奈川県鎌倉市稲村ガ崎1-12-16,0467405737,
アニヴェルセルカフェ 表参道,107-0061,東京都港区北青山3-5-30,0354115988,
PARIYA(パリヤ) 青山店,107-0061,東京都港区北青山3-12-14 MAKO北青山 1F,0334098468,
crisscross(クリスクロス),107-0062,東京都港区南青山5-7-28,0364341266,
IVY PLACE (アイヴィー プレイス),150-0033,東京都渋谷区猿楽町16-15,0364153232,
6th by ORIENTAL HOTEL(シクスバイオリエンタルホテル),100-0006,東京都千代田区有楽町1-12-1 新有楽町ビル1F,0362126066,
ICHIBIKO(イチビコ) 太子堂店,154-0004,東京都世田谷区太子堂5-8-3,0364508750,
喫茶you(ユー),104-0061,東京都中央区銀座4-13-17 高野ビル1F,0362260482,
green bean to bar CHOCOLATE Nakameguro(グリーン ビーン トゥ バー チョコレート ナカメグロ),153-0042,東京都目黒区青葉台2-16-11,0357286420,
Fairycake Fair(フェアリーケーキフェア)グランスタ東京店,100-0005,東京都千代田区丸の内1-9-1 JR東日本東京駅構内B1改札内,0332110055,電子マネー(Suica)利用可クレジットカード利用可
夜パフェ専門店パフェテリア ベル 渋谷店,150-0043,東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル3F,0364278538,
カフェ アクイーユ 恵比寿,150-0021,東京都渋谷区恵比寿西2-10-10 エレガンテヴィータ1F,0368218888,
NARAYA CAFE(ナラヤ カフェ),250-0404,神奈川県足柄下郡箱根町宮ノ下404-13,0460821259,
森の図書室,150-0042,東京都渋谷区宇田川町23-3 渋谷第一勧銀共同ビル 8F,0364550629,
スターバックスコーヒー JR東京駅日本橋口店,100-0005,東京都千代田区丸の内1-9-1丸の内中央ビル,0352196066,
東京水上倶楽部 CANAL CAFE(カナル カフェ),162-0825,東京都新宿区神楽坂1-9,0332608068,
INTERSECT BY LEXUS - TOKYO(インターセクト バイ レクサス トウキョウ),107-0062,東京都港区南青山4-21-26,0364471540,
さぼうる,101-0051,東京都千代田区神田神保町1-11,0332918404,※ベジタリアン向けメニューについては応相談
マールブランシュ 京都北山本店,603-8053,京都府京都市北区北山通植物園北山門前,0757223399,
Cafe 1894,100-0005,東京都千代田区丸の内2-6-2 三菱一号館美術館,0332127156,
eX cafe(イクスカフェ) 京都嵐山本店,616-8384,京都府京都市右京区嵯峨天龍寺造路町35-3,0758826366,
ANNIVERSAIRE CAFE(アニヴェルセルカフェ) みなとみらい横浜店,231-0001,神奈川県横浜市中区新港2-1-4,0456405188,
Eggs'n Things(エッグスンシングス) 原宿店,150-0001,東京都渋谷区神宮前4-30-2,0357755735,
梟書茶房,171-0021,東京都豊島区西池袋1-12-1 Esola池袋 4F,0339711020,
HOMEMAKERS(ホームメーカーズ),761-4151,香川県小豆郡土庄町肥土山甲466-1,0879622727,
cafe The SUN LIVES HERE (カフェ ザ サン リブズ ヒア),154-0024,東京都世田谷区三軒茶屋1-27-33,08043482733,
BOOK AND BED TOKYO SHINJUKU(ブック アンド ベッド トウキョウ シンジュク),160-0021,東京都新宿区歌舞伎町1-27-5 歌舞伎町APMビル 8F,,
SALON BAKE & TEA(サロン ベイク アンド ティー),160-0022,東京都新宿区新宿4-1-6 NEWoMan3F,0363801790,
SEA BiRDS CAFE(シーバーズカフェ),317-0074,茨城県日立市旭町1-3-20,0294260187,
