店名,郵便番号,住所,電話番号,備考
本屋イトマイ,174-0071,東京都板橋区常盤台1-2-5 町田ビル2F,,
OHARA River side cafe KIRIN(オオハラ リバー サイド カフェ),601-1242,京都府京都市左京区大原来迎院町114,0757442239,
FEBRUARY CAFE(フェブラリーカフェ),111-0043,東京都台東区駒形1-9-8 川尻ビル 1F,0368027171,
すなば珈琲 新鳥取駅前店,680-0831,鳥取県鳥取市栄町706,0857274649,
La Cialda(ラ チャルダ),152-0035,東京都目黒区自由が丘1-25-9 自由が丘テラス1F,0357269622,
ink by canvas tokyo(インク バイ キャンバス トウキョウ),150-0034,東京都渋谷区代官山町11-12,0364325701,
KYOTO KEIZO CAFE(キョウト ケイゾー カフェ),604-8331,京都府京都市中京区御供町293,0758210303,
Cafe no.(カフェ ナンバー) 原宿店,150-0001,東京都渋谷区神宮前1-8-9,,
JUICY(ジューシー) 新大久保本店,169-0073,東京都新宿区百人町2-10-2,0332273750,
here(ヒア),604-8273,京都府京都市中京区姉西洞院町524,,
東京マリオットホテル ペストリー&ベーカリー GGCo.(ジージーコー),140-0001,東京都品川区北品川4-7-36 東京マリオットホテル1F,0354883929,
カフェ アコリット,171-0031,東京都豊島区目白3-4-15 プラネット目白 B1F,0359825993,
プルミエメ,151-0063,東京都渋谷区富ヶ谷1-6-10 代々木公園ビル2F,,
MUUN Seoul(ムーン ソウル) 1号店,150-0001,東京都渋谷区神宮前3-27-15 FLAG 1-E,0368129499,
Cafe comme ca(カフェ コムサ) コムサステージ銀座店,104-0061,東京都中央区銀座4-3-1 並木館 B1F,0335351090,
音楽と珈琲の店 岬,299-1901,千葉県安房郡鋸南町元名1,0439692109,
Cafe de Peru,169-0051,東京都新宿区西早稲田2-16-17NKビル1階,0362056061,
DEAN&DELUCA(ディーン アンド デルーカ)カフェ 丸の内,100-0005,東京都千代田区丸の内1-4-5 三菱UFJ信託銀行本店ビル 1F,0332847071,
COCOGARDEN(ココガーデン),680-0414,鳥取県八頭郡八頭町橋本877,0570077505,
カフェアルル,160-0022,東京都新宿区新宿5丁目10-8,0333560003,
EVERYONEs CAFE(エブリワンズ カフェ),110-0007,東京都台東区上野公園8-4,0358158251,
Little Nap COFFEE STAND(リトル ナップ コーヒー スタンド),151-0053,東京都渋谷区代々木5-65-4,0334660074,
キルフェボン 京都,604-8005,京都府京都市中京区河原町通三条上る東入恵比須町534-18 ステラム 1F,0752548580,
